# x q^+(x) p(x|TP) p(TP|x)
-35 0 0 0
-34 1.78083e-06 0.00554815 3.56166e-06
-33 3.67712e-06 0.0105367 7.35421e-06
-32 5.78155e-06 0.0146254 1.1563e-05
-31 8.21352e-06 0.0176228 1.64269e-05
-30 1.11369e-05 0.019497 2.22736e-05
-29 1.4787e-05 0.0203519 2.95735e-05
-28 1.95122e-05 0.0203818 3.90237e-05
-27 2.58423e-05 0.0198197 5.16832e-05
-26 3.45969e-05 0.0188931 6.91914e-05
-25 4.70655e-05 0.017795 9.41265e-05
-24 6.53022e-05 0.0166695 0.000130596
-23 9.26128e-05 0.0156126 0.000185208
-22 0.000134357 0.0146788 0.000268678
-21 0.000199267 0.0138923 0.000398454
-20 0.000301587 0.0132577 0.000602991
-19 0.000464518 0.0127684 0.000928604
-18 0.00072565 0.0124132 0.00145025
-17 0.00114534 0.0121798 0.00228805
-16 0.00181923 0.0120571 0.00363184
-15 0.00289629 0.0120361 0.0057758
-14 0.00460348 0.01211 0.00916457
-13 0.00727743 0.0122735 0.0144489
-12 0.0114015 0.0125227 0.022543
-11 0.0176436 0.0128533 0.0346646
-10 0.0268853 0.0132601 0.0523249
-9 0.0402286 0.0137353 0.0772205
-8 0.0589619 0.0142675 0.110971
-7 0.0844683 0.01484 0.154667
-6 0.118067 0.0154308 0.208254
-5 0.160793 0.0160125 0.269877
-4 0.213147 0.0165534 0.33543
-3 0.274862 0.0170201 0.398626
-2 0.344762 0.0173809 0.451802
-1 0.420754 0.0176091 0.48744
0 0.500001 0.0176872 0.5
1 0.579248 0.0176091 0.48744
2 0.65524 0.0173808 0.451801
3 0.72514 0.0170201 0.398624
4 0.786855 0.0165533 0.335428
5 0.839209 0.0160123 0.269875
6 0.881935 0.0154306 0.208251
7 0.915534 0.0148397 0.154664
8 0.94104 0.0142671 0.110968
9 0.959773 0.0137348 0.0772173
10 0.973116 0.0132592 0.0523216
11 0.982358 0.012852 0.0346611
12 0.9886 0.0125207 0.0225395
13 0.992724 0.0122706 0.0144454
14 0.995398 0.0121053 0.00916105
15 0.997105 0.0120288 0.00577226
16 0.998183 0.0120454 0.00362829
17 0.998856 0.0121609 0.0022845
18 0.999276 0.0123828 0.00144669
19 0.999537 0.0127195 0.000925045
20 0.9997 0.0131794 0.000599432
21 0.999803 0.0137682 0.000394894
22 0.999867 0.0144843 0.000265118
23 0.999909 0.0153124 0.000181647
24 0.999936 0.016215 0.000127035
25 0.999955 0.0171217 9.05652e-05
26 0.999967 0.0179207 6.56299e-05
27 0.999976 0.0184539 4.81217e-05
28 0.999982 0.0185216 3.54622e-05
29 0.999987 0.0179009 2.60119e-05
30 0.999991 0.0163794 1.8712e-05
31 0.999994 0.0138019 1.28653e-05
32 0.999996 0.0101205 8.00139e-06
33 0.999998 0.00543378 3.79256e-06
34 1 0 0
